Age,TFSA,RRSP,RESP,NonRegistered,Cash,NetWorth
18,0,0,24000,,-74000,-50000
19,0,0,19080,,-149240,-130160
20,0,0,13483.2,,-225730.4,-212247.19999999998
21,0,0,7146.0960000000005,,-303480.944,-296334.848
22,0,0,0,,-382500.65504,-382500.65504
23,0,0,0,,-360419.038976,-360419.038976
24,0,0,0,,-337895.79059072,-337895.79059072
25,0,0,0,,-314922.07723773445,-314922.07723773445
26,0,0,0,,-291488.8896176891,-291488.8896176891
27,0,0,0,,-267587.0382452429,-267587.0382452429
28,0,0,0,,-243207.14984534774,-243207.14984534774
29,0,0,0,,-218339.6636774547,-218339.6636774547
30,0,0,0,,-192974.82778620376,-192974.82778620376
31,0,0,0,,-167102.69517712784,-167102.69517712784
32,0,0,0,,-140713.11991587037,-140713.11991587037
33,0,0,0,,-113795.75314938778,-113795.75314938778
34,0,0,0,,-86340.03904757553,-86340.03904757553
35,0,0,0,,-58335.21066372703,-58335.21066372703
36,0,0,0,,-29770.285712201556,-29770.285712201556
37,0,0,0,,-634.0622616455657,-634.0622616455657
38,29084.885657921535,0,0,,0,29084.885657921535
39,61143.30567535528,0,0,,0,61143.30567535528
40,95731.49743139421,0,0,,0,95731.49743139421
41,131157.58132588028,0,0,,1855.7912352255516,133013.37256110582
42,144027.0362054331,0,0,,29024.536224730095,173051.5724301632
43,157668.6583777591,0,0,,56836.65611402469,214505.3144917838
44,172128.77788042466,0,0,,85305.01840110519,257433.79628152985
45,187456.50455325015,0,0,,100000,301899.2524871775
46,203703.89482644518,0,0,,100000,348833.6917598867
47,220926.1285160319,0,0,,100000,399280.60707142804
48,239181.6962269938,0,0,,100000,453464.6751777808
49,258532.59800061345,0,0,,100000,511624.3320041561
50,279044.55388065026,0,0,,100000,574012.6037664281
51,300787.2271134893,0,0,,100000,640897.9880712769
52,323834.4607402987,0,0,,100000,712565.387995994
53,348264.5283847166,0,0,,100000,789317.1023290027
54,374160.4000877996,0,0,,100000,871473.875343057
55,401610.02409306756,0,0,,100000,959376.0096754408
56,430706.62553865166,0,0,,100000,1053384.5461040037
57,461549.0230709708,0,0,,100000,1153882.514235241
58,494241.96445522906,0,0,,100000,1261276.2583616527
59,528896.4823225428,0,0,,100000,1375996.843001095
60,565630.2712618954,0,0,,100000,1498501.5429016587
61,604568.0875376092,0,0,,100000,1629275.422582666
62,645842.1727898658,0,0,,100000,1768833.0107866721
63,689592.7031572578,0,0,,100000,1917720.0755398995
64,735968.2653466932,0,0,,100000,2076515.505860441
65,780126.3612674949,0,0,,-102907.4812156416,1992198.954996426
66,826933.9429435446,0,0,,-309873.112055596,1910939.7103291955
67,876549.9795201573,0,0,,-520978.0555123496,1833083.5362155298
68,929142.9782913668,0,0,,-736305.0978382381,1759000.1893933138
69,984891.5569888488,0,0,,-955938.6810106444,1689084.923454801
70,1043985.0504081799,0,0,,-1179964.935846499,1623760.0848868734
71,1106624.1534326707,0,0,,-1408471.7157790705,1563476.8061983038
72,1173021.6026386311,0,0,,-1641548.6313102935,1508716.801985724
73,1243402.898796949,0,0,,-1879287.0851521408,1459994.2741416376
74,1318007.072724766,0,0,,-2121780.3080708254,1417857.9327805801
75,1397087.497088252,0,0,,-2369123.3954478838,1382893.1398546062
76,1480912.7469135474,0,0,,-2621413.344572483,1355724.182848157
77,1569767.5117283603,0,0,,-2878749.092679574,1337016.686386304
78,1663953.562432062,0,0,,-3141231.5557488073,1327480.170061024
79,1763790.7761779858,0,0,,-3408963.668079425,1327870.7612789958
