Max Extraction,1 mil,10 mil,100 mil
0,40.46,38.98,38.84
600,40.52,38.99,38.84
1200,40.59,39,38.84
1800,40.65,39,38.84
2400,40.71,39.01,38.84
3000,40.77,39.01,38.84
3600,40.83,39.02,38.84
4200,40.89,39.03,38.84
4800,40.95,39.03,38.84
5400,41.01,39.04,38.84
6000,41.07,39.04,38.84
6600,41.14,39.05,38.84
7200,41.2,39.06,38.84
7800,41.26,39.06,38.84
8400,41.32,39.07,38.84
9000,41.38,39.07,38.84
9600,41.44,39.08,38.85
10200,41.5,39.09,38.85
10800,41.56,39.09,38.85
11400,41.62,39.1,38.85
12000,41.68,39.11,38.85
12600,41.75,39.11,38.85
13200,41.81,39.12,38.85
13800,41.87,39.12,38.85
14400,41.93,39.13,38.85
15000,41.99,39.14,38.85
15600,42.05,39.14,38.85
16200,42.11,39.15,38.85
16800,42.17,39.15,38.85
17400,42.23,39.16,38.85
18000,42.3,39.17,38.85
18600,42.36,39.17,38.85
19200,42.42,39.18,38.85
19800,42.48,39.18,38.86
20400,42.54,39.19,38.86
21000,42.6,39.2,38.86
21600,42.66,39.2,38.86
22200,42.72,39.21,38.86
22800,42.78,39.22,38.86
23400,42.84,39.22,38.86
24000,42.91,39.23,38.86
24600,42.97,39.23,38.86
25200,43.03,39.24,38.86
25800,43.09,39.25,38.86
26400,43.15,39.25,38.86
27000,43.21,39.26,38.86
27600,43.27,39.26,38.86
28200,43.33,39.27,38.86
28800,43.39,39.28,38.86
29400,43.46,39.28,38.87
30000,43.52,39.29,38.87
30600,43.58,39.29,38.87
31200,43.64,39.3,38.87
31800,43.7,39.31,38.87
32400,43.76,39.31,38.87
33000,43.82,39.32,38.87
33600,43.88,39.33,38.87
34200,43.94,39.33,38.87
34800,44,39.34,38.87
35400,44.07,39.34,38.87
36000,44.13,39.35,38.87
36600,44.19,39.36,38.87
37200,44.25,39.36,38.87
37800,44.31,39.37,38.87
38400,44.37,39.37,38.87
39000,44.43,39.38,38.87
39600,44.49,39.39,38.88
40200,44.55,39.39,38.88
40800,44.62,39.4,38.88
41400,44.68,39.4,38.88
42000,44.74,39.41,38.88
42600,44.8,39.42,38.88
43200,44.86,39.42,38.88
43800,44.92,39.43,38.88
44400,44.98,39.44,38.88
45000,45.04,39.44,38.88
45600,45.1,39.45,38.88
46200,45.16,39.45,38.88
46800,45.23,39.46,38.88
47400,45.29,39.47,38.88
48000,45.35,39.47,38.88
48600,45.41,39.48,38.88
49200,45.47,39.48,38.89
49800,45.53,39.49,38.89
50400,45.59,39.5,38.89
51000,45.65,39.5,38.89
51600,45.71,39.51,38.89
52200,45.76,39.51,38.89
52800,45.8,39.52,38.89
53400,45.85,39.52,38.89
54000,45.89,39.53,38.89
54600,45.94,39.53,38.89
55200,45.98,39.53,38.89
55800,46.03,39.54,38.89
56400,46.05,39.54,38.89
57000,46.07,39.54,38.89
57600,46.1,39.55,38.89
58200,46.12,39.55,38.89
58800,46.15,39.55,38.89
59400,46.17,39.55,38.89
60000,46.19,39.56,38.89
60600,46.22,39.56,38.89
61200,46.24,39.56,38.89
61800,46.26,39.56,38.89
62400,46.29,39.57,38.89
63000,46.31,39.57,38.89
63600,46.33,39.57,38.89
64200,46.36,39.57,38.89
64800,46.38,39.58,38.89
65400,46.4,39.58,38.89
66000,46.43,39.58,38.89
66600,46.45,39.58,38.9
67200,46.48,39.58,38.9
67800,46.5,39.59,38.9
68400,46.52,39.59,38.9
69000,46.55,39.59,38.9
69600,46.57,39.59,38.9
70200,46.59,39.6,38.9
70800,46.62,39.6,38.9
71400,46.64,39.6,38.9
72000,46.66,39.6,38.9
72600,46.69,39.61,38.9
73200,46.71,39.61,38.9
73800,46.73,39.61,38.9
74400,46.76,39.61,38.9
75000,46.78,39.62,38.9
75600,46.8,39.62,38.9
76200,46.83,39.62,38.9
76800,46.85,39.62,38.9
77400,46.88,39.62,38.9
78000,46.9,39.63,38.9
78600,46.92,39.63,38.9
79200,46.95,39.63,38.9
79800,46.97,39.63,38.9
80400,46.99,39.64,38.9
81000,47.02,39.64,38.9
81600,47.04,39.64,38.9
82200,47.06,39.64,38.9
82800,47.09,39.65,38.9
83400,47.11,39.65,38.9
84000,47.13,39.65,38.9
84600,47.16,39.65,38.9
85200,47.18,39.66,38.9
85800,47.2,39.66,38.9
86400,47.23,39.66,38.9
87000,47.25,39.66,38.9
87600,47.28,39.66,38.9
88200,47.3,39.67,38.9
88800,47.32,39.67,38.9
89400,47.35,39.67,38.9
90000,47.37,39.67,38.9
90600,47.39,39.68,38.9
91200,47.42,39.68,38.9
91800,47.44,39.68,38.91
92400,47.46,39.68,38.91
93000,47.49,39.69,38.91
93600,47.51,39.69,38.91
94200,47.53,39.69,38.91
94800,47.56,39.69,38.91
95400,47.58,39.7,38.91
96000,47.61,39.7,38.91
96600,47.63,39.7,38.91
97200,47.65,39.7,38.91
97800,47.68,39.7,38.91
98400,47.7,39.71,38.91
99000,47.72,39.71,38.91
99600,47.75,39.71,38.91
100200,47.77,39.71,38.91
100800,47.79,39.72,38.91
101400,47.82,39.72,38.91
102000,47.84,39.72,38.91
102600,47.86,39.72,38.91
103200,47.88,39.73,38.91
103800,47.9,39.73,38.91
104400,47.92,39.73,38.91
105000,47.93,39.73,38.91
105600,47.95,39.73,38.91
106200,47.96,39.73,38.91
106800,47.98,39.73,38.91
107400,47.99,39.74,38.91
108000,48.01,39.74,38.91
108600,48.02,39.74,38.91
109200,48.04,39.74,38.91
109800,48.06,39.74,38.91
110400,48.07,39.74,38.91
111000,48.09,39.75,38.91
111600,48.1,39.75,38.91
112200,48.1,39.75,38.91
112800,48.1,39.75,38.91
113400,48.09,39.75,38.91
114000,48.08,39.75,38.91
114600,48.08,39.74,38.91
115200,48.07,39.74,38.91
115800,48.07,39.74,38.91
116400,48.06,39.74,38.91
117000,48.06,39.74,38.91
117600,48.05,39.74,38.91
118200,48.04,39.74,38.91
118800,48.04,39.74,38.91
119400,48.03,39.74,38.91
120000,48.03,39.74,38.91
120600,48.02,39.74,38.91
121200,48.02,39.74,38.91
121800,48.01,39.74,38.91
122400,48,39.74,38.91
123000,48,39.74,38.91
123600,47.99,39.74,38.91
124200,47.99,39.74,38.91
124800,47.98,39.74,38.91
125400,47.97,39.73,38.91
126000,47.97,39.73,38.91
126600,47.96,39.73,38.91
127200,47.96,39.73,38.91
127800,47.95,39.73,38.91
128400,47.95,39.73,38.91
129000,47.94,39.73,38.91
129600,47.93,39.73,38.91
130200,47.93,39.73,38.91
130800,47.92,39.73,38.91
131400,47.92,39.73,38.91
132000,47.91,39.73,38.91
132600,47.91,39.73,38.91
133200,47.9,39.73,38.91
133800,47.89,39.73,38.91
134400,47.89,39.73,38.91
135000,47.88,39.73,38.91
135600,47.88,39.72,38.91
136200,47.87,39.72,38.91
136800,47.86,39.72,38.91
137400,47.86,39.72,38.91
138000,47.85,39.72,38.91
138600,47.85,39.72,38.91
139200,47.84,39.72,38.91
139800,47.84,39.72,38.91
140400,47.83,39.72,38.91
141000,47.82,39.72,38.91
141600,47.82,39.72,38.91
142200,47.81,39.72,38.91
142800,47.81,39.72,38.91
143400,47.8,39.72,38.91
144000,47.8,39.72,38.91
144600,47.79,39.72,38.91
145200,47.78,39.72,38.91
145800,47.78,39.71,38.91
146400,47.77,39.71,38.91
147000,47.77,39.71,38.91
147600,47.76,39.71,38.91
148200,47.75,39.71,38.91
148800,47.75,39.71,38.91
149400,47.74,39.71,38.91
150000,47.74,39.71,38.91
150600,47.73,39.71,38.91
151200,47.72,39.71,38.91
151800,47.71,39.71,38.91
152400,47.7,39.71,38.91
153000,47.69,39.71,38.91
153600,47.68,39.7,38.91
154200,47.67,39.7,38.91
154800,47.66,39.7,38.91
155400,47.65,39.7,38.91
156000,47.64,39.7,38.91
156600,47.63,39.7,38.91
157200,47.62,39.7,38.91
157800,47.61,39.7,38.91
